CHEBI:67546 CHEBI:33853,CHEBI:35681,CHEBI:71238
CHEBI:52231 CHEBI:27007
CHEBI:61390 CHEBI:37143,CHEBI:38530,CHEBI:24129,CHEBI:50996,CHEBI:51751,CHEBI:36683,CHEBI:35618
CHEBI:72027 CHEBI:71984
CHEBI:5557 CHEBI:38791,CHEBI:24436
CHEBI:15577 CHEBI:32955
CHEBI:47148 CHEBI:38338,CHEBI:37141,CHEBI:18379
CHEBI:29906 CHEBI:37751,CHEBI:36871
CHEBI:28572 CHEBI:38958
CHEBI:27967 CHEBI:35346,CHEBI:47788,CHEBI:50402,CHEBI:19168
CHEBI:76060 CHEBI:28419,CHEBI:38684,CHEBI:76424,CHEBI:63367
CHEBI:18411 CHEBI:24405
CHEBI:65775 CHEBI:47622,CHEBI:35990,CHEBI:35681,CHEBI:71548,CHEBI:26979,CHEBI:36054
CHEBI:52736 CHEBI:37929
CHEBI:65632 CHEBI:61778,CHEBI:23824,CHEBI:26878,CHEBI:35681,CHEBI:63353,CHEBI:38104,CHEBI:35990
CHEBI:40910 CHEBI:36828,CHEBI:22680,CHEBI:35108
CHEBI:71979 CHEBI:35213,CHEBI:25061,CHEBI:63944
CHEBI:70796 CHEBI:38032,CHEBI:37125,CHEBI:26658
CHEBI:46723 CHEBI:46662
CHEBI:62113 CHEBI:62552,CHEBI:26829
CHEBI:7963 CHEBI:50394
CHEBI:52032 CHEBI:52165,CHEBI:51548,CHEBI:37987
CHEBI:68733 CHEBI:24828,CHEBI:75946,CHEBI:51026
CHEBI:64940 CHEBI:64993
CHEBI:68701 CHEBI:33853,CHEBI:17478,CHEBI:38830
CHEBI:35475 CHEBI:35472,CHEBI:35842
CHEBI:32741 CHEBI:35417,CHEBI:33710
CHEBI:15980 CHEBI:36059
CHEBI:63987 CHEBI:35274,CHEBI:25697
CHEBI:2340 CHEBI:73474,CHEBI:22729,CHEBI:15734
CHEBI:65442 CHEBI:38164,CHEBI:26195,CHEBI:71037
CHEBI:47182 CHEBI:48588,CHEBI:37141,CHEBI:35689,CHEBI:35358,CHEBI:26961
CHEBI:57754 CHEBI:36059
CHEBI:27726 CHEBI:38170,CHEBI:38168
CHEBI:76441 CHEBI:58856
CHEBI:30038 CHEBI:50367
CHEBI:73790 CHEBI:38418,CHEBI:35813,CHEBI:35618,CHEBI:25384,CHEBI:37143
CHEBI:69865 CHEBI:50860
CHEBI:7856 CHEBI:32876,CHEBI:73474,CHEBI:47622,CHEBI:26878
CHEBI:65877 CHEBI:33308,CHEBI:26878,CHEBI:26658,CHEBI:3992
CHEBI:50359 CHEBI:38163,CHEBI:38104
CHEBI:36587 CHEBI:72695
CHEBI:67312 CHEBI:51689,CHEBI:36130,CHEBI:47622,CHEBI:38164,CHEBI:39434
CHEBI:72750 CHEBI:3992,CHEBI:38032,CHEBI:47622,CHEBI:33853,CHEBI:26878,CHEBI:46955,CHEBI:26188
CHEBI:47719 CHEBI:48633,CHEBI:48613,CHEBI:38835,CHEBI:36683
CHEBI:58271 CHEBI:59737
CHEBI:40286 CHEBI:46848,CHEBI:38314,CHEBI:26421,CHEBI:25477
CHEBI:26536 CHEBI:25384,CHEBI:26537
CHEBI:9168 CHEBI:24995,CHEBI:25698,CHEBI:25106,CHEBI:35681,CHEBI:59770,CHEBI:3992
CHEBI:4916 CHEBI:25000,CHEBI:23909,CHEBI:22798,CHEBI:37576
CHEBI:15760 CHEBI:25375,CHEBI:50994,CHEBI:27175
CHEBI:59587 CHEBI:64708,CHEBI:35505
CHEBI:62745 CHEBI:28965,CHEBI:35274
CHEBI:8198 CHEBI:26195,CHEBI:63367,CHEBI:22798,CHEBI:26776
CHEBI:43745 CHEBI:38338
CHEBI:69424 CHEBI:50860
CHEBI:5818 CHEBI:36683,CHEBI:46845,CHEBI:46789
CHEBI:69582 CHEBI:50860
CHEBI:2781 CHEBI:76224,CHEBI:22187,CHEBI:51867
CHEBI:22256 CHEBI:61296,CHEBI:25608,CHEBI:22260
CHEBI:75253 CHEBI:35843
CHEBI:36400 CHEBI:36397
CHEBI:32599 CHEBI:51336,CHEBI:33975
CHEBI:58394 CHEBI:58945,CHEBI:35757,CHEBI:63551
CHEBI:67172 CHEBI:68528
CHEBI:31794 CHEBI:25108
CHEBI:51509 CHEBI:17682
CHEBI:6897 CHEBI:35618,CHEBI:50995,CHEBI:35533,CHEBI:47622
CHEBI:16426 CHEBI:36948,CHEBI:24780
CHEBI:32203 CHEBI:48147
CHEBI:43899 CHEBI:38418,CHEBI:38189,CHEBI:37143
CHEBI:66177 CHEBI:29347,CHEBI:15734,CHEBI:26456
CHEBI:53683 CHEBI:33839,CHEBI:25713
CHEBI:27664 CHEBI:15489
CHEBI:68284 CHEBI:22950,CHEBI:27171,CHEBI:33572,CHEBI:38763
CHEBI:58986 CHEBI:35716,CHEBI:22680,CHEBI:33853
CHEBI:33266 CHEBI:33267
CHEBI:47969 CHEBI:7027
CHEBI:71976 CHEBI:25061,CHEBI:35213,CHEBI:63944
CHEBI:52749 CHEBI:52667,CHEBI:52647
CHEBI:16937 CHEBI:23765,CHEBI:26507
CHEBI:62790 CHEBI:25238,CHEBI:25389,CHEBI:33853
CHEBI:64317 CHEBI:50995,CHEBI:35681,CHEBI:33566
CHEBI:57934 CHEBI:35274
CHEBI:75523 CHEBI:63353,CHEBI:50018,CHEBI:38686,CHEBI:25401
CHEBI:37174 CHEBI:37171
CHEBI:36504 CHEBI:35695
CHEBI:16168 CHEBI:38182
CHEBI:58504 CHEBI:33906
CHEBI:22720 CHEBI:38101,CHEBI:27171
CHEBI:15838 CHEBI:23066
CHEBI:72341 CHEBI:15705
CHEBI:18247 CHEBI:26554,CHEBI:22295,CHEBI:22532
CHEBI:48674 CHEBI:48679,CHEBI:17317
CHEBI:52771 CHEBI:38188,CHEBI:50356
CHEBI:73947 CHEBI:73942
CHEBI:73450 CHEBI:46761
CHEBI:28663 CHEBI:63432,CHEBI:22292,CHEBI:24582
CHEBI:57352 CHEBI:58946
CHEBI:59623 CHEBI:35924
CHEBI:65900 CHEBI:67265,CHEBI:37407,CHEBI:51689,CHEBI:35681,CHEBI:38163,CHEBI:38101,CHEBI:33308
CHEBI:46870 CHEBI:46827
